title_lemmatized,text_lemmatized,rating
workand american,starter american picture usa corner intentionally miss lead matter worse do not work sure heating element heat fine zero effect straighten,1.0
perfect,pretty wrap,5.0
junk,look bellow rip,1.0
real easy use,like start notice issue week hard use suggest vinel roll machine instead like,3.0
star,live advertisement,2.0
happy cushion,work happy cushion,5.0
disappointed discovery,package twelve send damage gift bag look like gluedphoto upload,3.0
little gritty toothpaste,think grinding amiss,4.0
work modification,originally look gel seat cushion long road trip price decide try arrive take short trial run I m sure glad I m woman wear size eight pant I m tiny overly large cushion hug like exactly size can not imagine comfortable large raise high expect problem tall set soon feel claustrophobic feel like child booster seat close buckle could not wait pay return shipping fee decide well fortunately able remove inner outer cover nice feature sharp serrate bread knife carve memory foam pretty remove bump hump ridge leave nice flat slightly forwardangle pad putting cover plastic bag ship easily slide car andor shift position driving come home spending thirty hour drive solo happily report backside pleasant journey important thing extra height cushion raise correct curve bucket seat leave big gap small pillow lumbar support comfortable worth yes think,3.0
crush pill instead split disappointed,unfortunately do not split pill crush small pill super small work large pill would not recommend small pill return cheap worth trouble,1.0
star,great thing wish soft cover fit,5.0
skinny neck bottle,edit seller reach previous onestar review send brush free roll end work tall 34 oz swingtop bottle need clean thank seller review upgrade four star good customer service recommend look different brush wine narrownecke bottle original review long reach 1l swingtop bottle can not bottle brush roll metal twist thick try unroll pair plier metal twist hold bristle loosen bristle fall forget get wine bottle skinnynecke bottle false advertising waste money,4.0
star,excellent seller excellent ware,5.0
come battery cover,complicated operate,3.0
buy bulk cut individually,buy bulk cut individually essentially thing pay buck pair local big box pharmacy initially kind loose pull wet dry corn save bundle buy bulk buck pad invest quality shoe stretcher cut corn development altogether tw good,4.0
star,little space write,1.0
sturdy elegant bag,fantastic product price bag sturdy boutique feel flimsy like bag you d find gift aisle craft store able four heavy juice bottle side bulge buckle downside strap pop you re set bag poke hole,4.0
safe effective weed killer,kill weed hour,5.0
focus,good product I ve buy mind caffeine key recommend drink coffee work good drink lot watertea,4.0
wish five star I m hook,five star problem right shoulder spend fortune massage massager work great price highly recommend,5.0
star,great product buy,5.0
i d buy,make seat high car good shock absorber,4.0
star,great little travel set hope work alaska trip,5.0
grand daughter love brush,grand daughter love brush safe flat iron eleven concern work great long thick hair curl love brush straight,4.0
star,work great,5.0
nice,massager come useful nylon bag handy different room like extra massager wire battery give lot freedom harrassment massaging ball pretty hard depend course pressure real effect f backit early itbut impression good,4.0
star,do not work,1.0
snag material,try use sweater snag material have not,1.0
star,expect,3.0
serve purpose,nice need tool husband like,4.0
crap,thing be not worth darn come shaving leg do not waste money,2.0
star,pod scent booster great,5.0
santa burlap sack gift,sturdy pretty santa sack,4.0
nice theory good scent poor manufacturing,videoidcc6ee6d7dfb42145cc1acde627f50084 concept great miss opportunity order variation vapor awaken enjoy aroma unanswered question direction inconsistent quality tablet complete powder bag plastic wrapper outside tablet assume dissolvable loose particle essentially sprinkle shower texture awful direction specify remove dissolve minute place near shower water good demonstrate use initial impression testing knock additional star do not find practical scent evaporate quickly tablet,3.0
iphone fit inside shelf easily wish three outlet separate,complaint iphone fit inside shelf easily wish three outlet separate time,3.0
nice machine,love low noise feature small giant make sleep,5.0
amazing plug right cat,purchase air sanitizer month ago amazing plug right cat litter box work tremendously take hour notice difference obvious difference highly recommend pet instruct friend purchase,5.0
work ok,fit perfectly kid toothbrush sturdy worry replacement eat year,5.0
good quality effective product thick,bunion corrector wellmade consist squishy type gel high tack place unique product time I ve see thing like domestically decide try pretty pleased comfortwise they re pretty decent need feel place initially need walkmove way keep corrector place tendency slip toe lot walk somewhat extreme case bunion actually bite painful pressure toe begin want ease base level discomfort experience depend severity bunion actually bite small term displacement moderate case kind wish bit thick do not push far thick help place well opinion work obviously result will not immediately apparent feel begin apply outward pressure move bend toe good high quality gel material comfortable tacky surface keep place unique product like bad uncomfortable adjust small thin depend severity learn walk pop shift good purchase case different work wellenough disclosure receive product discount unbiased review opinion affect promotion offer seller,4.0
star,comment,3.0
room temp cool sweat be not factor,initially hold place end eventually lift away apparently weak adhesive lift night night minute 2nd isopropyl ninety - one percent times clean area thoroughly room temp cool sweat be not factor finger clean strip handle middle portion apply firmly press place do not happen main expensive brand want try expensive alternative job have not give,1.0
difficult use,difficult use sorry order,1.0
bad,quality good order size large normal hope big short hit right belt,4.0
surprise loyal new fan,do not uaually review thing huge impression purchase I ve bad opinion brand plastic wrap aluminum foil friend stay house purchase great value plastic wrap year ago last year wonderful slide cutter make deal plastic wrap easy I m definitely get agin run,5.0
ceramic tree,finally get ceramic tree fix new light,5.0
do not waste money,3rd purchase product thick milky liquid claim second time clear liquid water 3rd time taste water disappoint,1.0
gravity bong,way gravity bong case wonder,3.0
great buy,purchase product daughter room face busy street early morning garbage truck bus motorcycle wake sleep wonderfully get sound machine simple plug flip switch we ve two month could not happy way easily hear wake monitor worry,5.0
basic tool need,like pimple popper kit basically use remove whitehead blackhead monthly regular beauty routine effectively remove blackhead nose basic tool need price reasonable love reason do not five star arrive month late,4.0
will not buy,cheap do not close right cute,3.0
work,get burlington coat factory whim mom bad rls keep night painful start apply night bed say help rls tremendously say pain rls constant kicking notably decrease night do not love can not beg buy recommend suffer rls,5.0
star,pretty nice card stock printing,5.0
awesome product,love thing great soft scrubber,5.0
taste good horrible,far love drinking make feel great ibs order unflavored try flavor unflavore dirt like aftertaste nutrient like say help tremendously ibsc tasty mix pineapple juice easy drink,4.0
think comfortable blue insole ostrich justin,think comfortable blue insole ostrich justin good,4.0
break,strap fall apart time wash extremely disappointed pay poorly see plenty positive review think ok size mask fine strap long contribute fall apart,1.0
highly recommend,use interior exterior car absolutely love result cleaner fast wash dry car traditional way do not use drivethrough car wash do not clean,5.0
star,take brush start come apart little use,1.0
work,dislike,5.0
star,work great,4.0
fan,buy think work arm hammer detergent sorely disappoint they re flimsy do not help remove lint pet hair know that s purpose fabric softener snuggle downy gain provide benefit low price will not buy stockpile nearly free,2.0
do not stick try use,do not stick try use extra strength adhesive work do not,1.0
star,great product,4.0
cushion,husband find helpful support,3.0
work part body,marinajust start go second box far feel well leg knee hand hurt,4.0
,good deal,4.0
niece nephew,one two taste approve nonetheless beneficial brain,4.0
favorite choice energy,wow picture product amazon pretty bad outdated product actually package work amazingly great small serve size good feature energy shot pouch come small literally carry realize need coffee flavor bit sweet small shot do not think twice anymore add morning coffee kick I ve hook little guy awhile feel crash product huge plus,5.0
like brushing water,chomp like flavor clean sensation tell brush twice regular toothpaste second time disappoint,1.0
sleek ecofriendly,aesthetically toothbrush attractive sleek design make easy clean easy look head easy I ve issue fall unexpectedly bristle soft feel well traditional bristle slightly difficult toothpaste bristle think bristle black making toothpaste easy oppose white bristle toothpaste difficult overall good solid toothbrush somewhat reduce waste have replaceable head,4.0
dog do not want,I m sure young puppy love especially teethe,3.0
sprayer break five minute,disappoint quality sprayer,1.0
fish burps,fish burps hate seafood good experience omegas doctor say start take fish burps brand husband experience stop take grossout factor he s meal do not want fish burps help good supplement fishhater like seafood would not want supplement morning I ve go brand have not let,2.0
great addition gym bag,I m cut phase moment I m cut calorie amino acid life saver nursing office job do not feel like lug tub powder daily basis convenient individual,4.0
bond pad attach,bond pad attach ride tail bone stay recliner long period time attach ruff material wear bed sore difficult relief attach material move little problem alleviate,3.0
would not recommend you re professional,improve balance would not recommend you re professional haha recommend carpet move hard object far away plan unconventional way,5.0
leak,buy test five leak should ve figure price,1.0
buy,pin form hinge appear wear break split pill come apart pick different buy,1.0
finally shake taste good,I ve try lot different shake mix past favorite taste way well I ve use meal replacement mix flax milk make thick like chocolate milk fill like treat diet supplement glad find stuff,5.0
star,love,5.0
help flavor,know healthy purchase can not past tasteflavor,3.0
we ve four month,we ve four month base pedestal break cheap pay worthless try tape piece start break pedestal,1.0
ok price use,ok price use wash cleanse face night apply moisturizer would not let wet,3.0
love paper,love paper like weight color look nice nearly large expect twenty - two five foot wide expect sized roll wrapping paper get,3.0
do not,do not,1.0
clean tp,regular cold water bidet bathroom travel difficult tp I ve look high quality portable use away home boss mini job I ve couple day get angle well use practice make perfect recommend product,5.0
ok time tell,far good long,4.0
product work great bottle show leak unsealed,product work great bottle show leak unseal make feel like be not brand new bottle sanitary reason throw away,2.0
premeasure packaging great,do not realize order giant box contain packet premeasured salt guess pour dishwasher soon dishwasher notice add salt appear simply cut corner packet refill perfectly top reservoir easy handle easy clean great idea,5.0
good product,item exactly expect receive use tea tree oil lot house work fine,4.0
perfect,lid do not stay perfect,4.0
star,joint achy see significant difference start take,5.0
like gift,buy valentine gift daughter love scent think great gift say mind friend,5.0
star,work great pay attention measure kg lb,5.0
good,terrible buy throw straight trash,1.0
terrible,break time could not grab lash little bulky,1.0
work,great product work highly recommend,5.0
chip,file crip shape start chip sharpness grit do not long,4.0
perfect glass,work like charm,4.0
bad purchase,zero star bad purchase junk,1.0
slippery wet,return try use dish glove turn slippery wet drop dish try time wonder soap nope brand glove problem evident reason glove slippery wet,1.0
becareful sticky pad,unfortunately sticky pad get metal plate peel wood,2.0
one star,product work try,1.0
work perfect,good invention,5.0
chew half day,daughter chew clear plastic piece half day good design,1.0
do not like,leave spot matter use do not like use rest will not purchase,3.0
absorb water,look thin makeup cotton feel way thin soft do not absorb water hurt apply toner suppose use makeup remove apply toner,3.0
star,resistance weak grown man,3.0
order product,seal great product odd taste smell negative thank,5.0
work,glass jar light wooden match paper match please,5.0
poor quality compare old version,fifteen year give ghost love nervous order product review say quality change true month purchase lead readout develop problem unreadable make set difficult white noise important apartment set electronic loop short noticeable stop month buy separate white noise machine love wake gentle rise light instead buzzer hope aspect unit continue function,2.0
star,sure change,1.0
star,good strong bag fit thirty - two gallon garbage,5.0
,get baby hush alsothis nicer,5.0
love,unique nail trimmer see high quality steel,5.0
eh,ballon arch ok time learn curve character balloon terrible valve difficult nozzle helium tank would not float,5.0
star,trick,4.0
dud replacement well,mop receive flop handle come undone middle piece unusable bottle would not secure place matter press line fill pop slightly spring block flow water continuous spray impossible say replacement problem have not show new spray like champ well connection handle have not come undone metal frame fairly durable strong important like press give floor good scrub I m clean four star I m one hundred convinced bottle go stay place shall use,4.0
good gift grandma,get grandmother love,5.0
hard complex connect,hard complex connect wifi comcast configure router support ancient wifi card protocol connect know two hour finally connect find bath room router living room able sync datum live small one bedroom kid disappointed fitbit buy fitbit product anymore charge hr understand expensive scale choose use ancient wifi card limit sync ability buy waste time money,1.0
do not mix,do not chance actually ingest product see people put coffee idea dissolve like flour water clump do not think issue producer product naturally do not mean properly mix you re make bad time do not taste bad initially like natural peanut butter bitter keep experiment way use consume torture mouth I m sure lovely product you re new know use quality nice recommend take capsule instead jump powder try capsule time,3.0
expensive,wish cheap,3.0
star,good super great,3.0
cheap,poor quality,2.0
super fast delivery,wow day delivery awesome great product,5.0
buyer beware false advertising,extremely disappointed order one five ml past order slip one two ml amazon customer service reach seller wait forty - eight hrs resolution buyer beware ten difference one five one two ill definitely look time rip rip do not deserve business yes honest mistake box like twelve size I m buy itupdate great customer service reach amazon company respond quickly provide refund thank,1.0
happy customer,good bad air sponge usually purchase amazon work sorry star high cost effective purchase begin,1.0
star,nice box odd smell orange instead red,3.0
good number area,good cold pack application different body area have cold pack great long application especially like enclose cover short long velcro strap hold firmly area solid freezer conform bit recommend,4.0
star,file buy,5.0
good,pricy expect high quality three crack pretty disintegrated immediately good,3.0
I ve guard year,I ve guard year works fall thick long time wear wear replace that s year,5.0
star,exactly describe nice addition ritual supply,5.0
terrible,enjoy lock house faulty equipment app communication perfect product lock house twice lock dependence app btw app high functioning,1.0
survive backyard wedding,purchase wear wedding shoe backyard wedding reception come three different size hope fit tiny heel shoe nope big purchase sticky putty use glowinthedark star ceiling work perfectly plus be not super noticeable detract overall look dress shoe oh do not sink grass,4.0
allinone product granite find,spray wipe do not three bottle product job use white granite kitchen countertop,4.0
star,work advertise,1.0
say work onetouch ultra two,say work onetouch ultra two do not try ten strip throw away get error message onetouch test strip wick blood fill rectangle brand will not fill bleed lot work,1.0
curve allow,unfortunately toilet seat like slight curve adhere one lift promise sear home depotnot fancycheck seat buy perfectly flat,1.0
forget,horrible product do not thing like stuff year ago mixed product that s show picture,1.0
star,thing suppose warm hand happen,3.0
nice price pleasant scent,hate think doubt gmo corn pretend surface skin will not big deal scent version blue bottle baby nicer pink goldbond make baby powder close good bang buck powder silky tactile stay power absorbskeep skin smooth dry do not recommend baby powder actual newborn infant baby maybe toddler rash actually ideal adult body powder avoid burt bee clorox purchase company product go downhill powder probably par theirs definitely cheap,4.0
flatten like pancake,horrible flatten like pancake lay middle foam strip stay place instruction use minimal waste money,1.0
nice nail clipper,exactly look good size finger toe item ship quickly work great,5.0
thick small,mask small fabric dense make breathe hard quality se good,2.0
love,use way makeup sponge little bit go long way product blend sponge tint moisturizer think thick sponge move instead blend love,5.0
entire life,I ve entire life enjoy problem hard carry big overall nice product,5.0
use car summer,seat cushion car summer heat destroy jell cushion try place cushion trunk go store cushion keep cool damage purchase cushion mainly vacation trip plus cushion hit low leg wrong cause pain coolness cushion feel recommend cushion,1.0
do not buy bulk till know like scent,smell gross like new car,1.0
feel good,let u know work,5.0
worth money,product horrible daughter try time ruin hair do not work way explain buyer explanation request return month ago wait refund,1.0
star,great,5.0
picture,fit size,5.0
like,sure helping lose weight energy drinking do not feel sluggish day,4.0
shine,I m give star file work ok mail shiner nail,2.0
star,2nd time buy beet juice powder brad,4.0
garbage,crap do not work bogus maybe well utilize chapstick,1.0
chewer,dog love last ten min,3.0
disappoint table decoration,table decoration fall soon set table different year,2.0
leak,leak use pause button need use lot plumber tape use o ring shower head pay nine add item can not complain diverter work fine five item try handheld shower intend rvs,3.0
invention century,person world use computer work need stabilize neck uncomfortably bent hour time cause stiff muscle pain like headr force good posture neck fire ur chiropractor feel good wear day drive listen injury nine year ago chronic neck pain constantly save u create neck pain know affiliate business review describe essential ur health wish specifically detailed review help decision five stroke two day I m alive nine year constant post stroke nerve joint stiff muscle pain wear feel instant relief time selfish plug company use story voice face brand marketing,5.0
ineffective,product exactly describe actually blend makeup find absorb makeup require use product blend spread easily coverage fan product,2.0
nope,do not work try take two,1.0
poor quality terrible product buy,wood handle rough lip inside mouth roughness worsen use 2nd use spit blood abrasion inside lip cause handle course day lip progressively inflame swollen swelling spread lip low thirteen face chemicalcompound treat wood toxic poor quality end need prednisone medication severe inflammation buy product,1.0
simple solution heel pain plantar fasciitis,easy use incredible value ball pad plantar fasciitis foot stretcher comfortable,5.0
fail automatically switch discharge charge issue,charger fail automatically switch discharge charge state manual discharge reach automatically switch charge attempt type battery aa d happen device remain discharge notablesbatterie get hot touch chargingthere click noise charge timer,2.0
you ve get dry skin work like dream,oily skin glass rest will not matter clean glass apply glass go fall nose you ve get dry skin work like dream,2.0
bottle miracle,"I m happy find supplement mediumthin naturally curly hair need help pregnancy thing body hair suffer pregnancy hair soft grow quickly middle pregnancy hair continue grow lushfull son bear hair literally fall clump hormonal imbalance cut literally bald spot head finally hair grow shoulder length stop mediumthin fall anymore problem long grow fast like do not use chemical rarely use heat styling occasionally color hair nice hair grow long like length pill terribly big semi small horse pill make sense taste absolutely horrible smell pretty bad trouble swallow hard pill instead capsule break apart I m take instruct two morning food two night food supplement work help hair skin nail healthy terrible taste worth notice bottle help support hormonal imbalance major concern have son hope help research herb include supplement good hormonal balance body general like say pregnancy number body finally able supplement help restore hormone plus update month result I ve attach picture hair today come month update picture nine thousand , nine hundred and seventeen month update couple day shy month reorder 2nd bottle take four day two two pmive upload four new picture take today hair pull result I m sure hair gain length soft shinier feel like healthier order 2nd bottle take two morning two evening taste horrible do not notice smell I ve get drink flavor beverage distract awful taste overall happy product continue result month go photo month ago think I m wear green shirt photo four take today",4.0
mask comfortably,awesome wash dry great comfortable coverage great,5.0
star,cheap wanted return,4.0
battery,easy fund need,5.0
work advertise,say wet waist band area water clamp zipper area do not zip button tighten clamp align hemi circle end waist band screw leave hand thread center shaft expand waist band end thread come apart turn wait waist band dry release add one fifty - two dry pant waist wash use denim material expansion permanent,4.0
great lactose intolerance,help digestive issue,4.0
release wrinkle,product smell great work release wrinkle great want smell good,1.0
likey,try night get happy ear strap instead head strap night little getting use thing need unlike head strap kind push forehead eye cover soft marvelous idea strap like face mask wear,4.0
flimsy,cheap feeling,1.0
try,jar open return item today reorder hopefully glitch matrix lol,1.0
good,expect,4.0
ok far thin holding,ok far problem difficult sock roll actually misuse thick heel protector place pair shoe great inflame tendon foot tear hole heel thick protect heel shoe probably ok normal shoe,4.0
fit pair heel different brand,buy tip replace two pair heel wear different mainstream brand brand sell major department store tip fit heels stud portion metal thick pair heels local shoe repair shop fix tip hope pair heel disappoint broken heel compatible coincidence,2.0
get water,like suction do not hold,4.0
confuse label,detox pill want two morning two evening dinner two bed time sixty capsule bottle math mean good ten day bottle say thirty day supply confuse aspect pill smell weird extremely strong smell swallow quickly take three day lose twenty - three pound work watch eat time gain weight right three day thing do not suppress appetite feel hungry stomach ache 2nd day sure related figure i d mention do not think get I m bottle,2.0
picture deceive product small,cute way small expect,3.0
worthless,absolutely worthless barely suction get refund,1.0
poor quality throw away,cane ship inlaw surgery use visit assemble cane fold position joint hold shock cord center strong hold piece place try thirty - four hour wedge piece avail cane wobbly dangerous good end throw away order standard aluminum cane amazon day delivery honestly exaggeration bad product receive amazon,1.0
ok,soap come cute,3.0
good sitting,use elderly far unstable,1.0
happy purchase,effective brand smell horrible,1.0
,coarser expect yes I m finish pro wover two decade experience,2.0
pain aid,pain aid tablet well counter pain reliever year fast act expensive tylenol advil work well like two tablet pack carry lunch box couple vehicle,5.0
extremely useful,nice lanyard face mask job extremely keep mask ready worry drop misplace they re comfortable downside clip stiff difficult open arthritic hand leave mask wash hand stay clean thank read review hope find helpful,4.0
straw well durable,straw well durable soggy fairly quickly work definitely worth try look biodegradable product,3.0
great,great,5.0
smell like hair salon,smell like hair salon like perm throw bottle away three use gag,1.0
mr clean cleaning pad,love product make life easier need clean ceiling wall etc miracle,4.0
expect well,expect well quality,4.0
will not fit doterra bottle,carousel nice attractive doterra bottle fit think work make row hole big big bottle fit hole fit snugly small bottle fit little hole row row hole little big company great deal definitely five star,4.0
convenient easy,easy understandable product great price order stripe run,5.0
work month,work fine exactly month button stick close water flow anymore,1.0
great brush well electric,recommend dental hygenist,5.0
okay,package scented drainconditione stick promise provide enzyme bacteria help drain unclogged stick provide okay basic householdcleaner scent add orange stick household drain observe immediate change course expect fairly subtle probably can not hurt,4.0
star,kid do not like taste would not eat,2.0
good stuff,help prevent gout,4.0
love rudys sauce,love rudys,5.0
good low viscosity,good stuff liquidy like water,4.0
sturdy step,item construct quality wood sturdy step shower bath place small hand size towel catch excess water slip step great product,5.0
love,product amazing use time day release shoulder neck tension like massage nub aggressive dig deep release knot well,5.0
thin,slide nose thin,3.0
do not buy,break second time recommend,1.0
ship fast like use,arrive fast expect gift mother day worry late friend recommend product use skin look moisture,4.0
size list accurate,buy xxlarge size product receive small slender foot use product stick drawer try away day,1.0
advertise,be not advertise product return waste money annoy,1.0
easy use,like pedicure want soak foot long day work,4.0
do not block blue light,do not block blue light,2.0
work,come plugs europe return turn amazon order different vendor come right plug do not work amazon let return try try amazon wonderful work t great idea do not work,1.0
bad item,expect,3.0
star,work ok bet slightly damp stretching,4.0
good item description,design shape size massager ok pain spot neck hard reach right pain spot shoulder waist ischial,2.0
satisfied,soon water release week stop work,1.0
flavor,like average strength shilajit time know health effect use half tsp tea day high immune system demand like flavor good product good value arrive vary nicely package blue foil pouch wooden scoop,4.0
waste,they re thick work shoe big need toe slide point shoe insert toe plug can not shoe waste,3.0
star,work great clean film inside car windshield,4.0
attractive bag reasonably price,purchase bag hold wine glass charm serve party favor bridal shower bag attractive add touch class table,5.0
bad,bad,4.0
good nail polish stamp,good nail polish stamp metallic color black stamp transfer red barely visible black work light contrast base nail polish white thick expect stamp white thin transfer light bold white nail polish stamp dark blue stamp light color black,4.0
